timestamp,node,cpu_usage_percent,memory_usage_percent,disk_usage_percent,network_receive_bytes,network_transmit_bytes,pod_count,pod_restart_count,pod_pending_count,node_condition_ready,node_condition_memory_pressure,node_condition_disk_pressure,node_condition_pid_pressure,node_condition_network_unavailable,cpu_request_percentage,memory_request_percentage,failure
2025-03-01 00:00:00,node-0,45.21,48.32,62.41,1023451.23,782341.45,12,0,0,1,0,0,0,0,42.32,48.71,0
2025-03-01 01:00:00,node-1,38.75,52.14,58.93,987654.32,812345.67,15,1,0,1,0,0,0,0,38.45,51.23,0
2025-03-01 02:00:00,node-2,41.89,49.56,64.12,1124532.78,792183.45,10,0,1,1,0,0,0,0,40.12,47.89,0
2025-03-01 03:00:00,node-3,52.34,47.89,59.78,1078945.67,823456.78,14,0,0,1,0,0,0,0,45.67,50.12,0
2025-03-01 04:00:00,node-4,43.56,51.23,61.45,992345.67,789123.45,11,0,0,1,0,0,0,0,41.23,48.56,0
2025-03-01 05:00:00,node-0,47.89,54.67,63.21,1045678.90,803456.78,13,0,0,1,0,0,0,0,43.56,52.34,0
2025-03-01 06:00:00,node-1,42.12,49.34,59.87,989876.54,778912.34,16,0,0,1,0,0,0,0,39.78,47.89,0
2025-03-01 07:00:00,node-2,39.87,50.12,62.34,1032145.67,795678.90,9,1,0,1,0,0,0,0,37.56,48.23,0
2025-03-01 08:00:00,node-3,44.56,53.21,60.78,1087654.32,812345.67,15,0,0,1,0,0,0,0,41.89,51.78,0
2025-03-01 09:00:00,node-4,48.93,51.78,64.89,996789.12,784567.89,12,0,1,1,0,0,0,0,44.23,49.56,0
2025-03-01 10:00:00,node-0,91.23,48.56,61.23,1056789.12,798765.43,14,4,0,1,0,0,0,0,43.12,47.89,1
2025-03-01 11:00:00,node-1,43.21,93.45,62.78,978912.34,781234.56,16,0,0,1,1,0,0,0,40.56,46.78,1
2025-03-01 12:00:00,node-2,45.67,50.89,91.34,1025678.90,789012.34,11,0,0,1,0,1,0,0,42.89,49.12,1
2025-03-01 13:00:00,node-3,40.12,52.45,59.12,78945.67,45678.90,13,0,0,1,0,0,0,1,38.12,50.45,1
2025-03-01 14:00:00,node-4,39.78,48.23,60.56,991234.56,774567.89,8,0,12,0,0,0,0,0,36.78,46.34,1
